1,G6211-MONOMER_~~~yaiX~~~predicted_acyl_transferase_(pseudogene),98.59,48
2,G6210-MONOMER_~~~yaiO~~~outer_membrane_protein,100.00,100
3,G6209-MONOMER_~~~frmR~~~regulator_protein,100.00,100
4,ADHC-MONOMER_1.1.1.284~~~frmA~~~formaldehyde_dehydrogenase,_glutathione-dependent,100.00,100
5,G6208-MONOMER_3.1.2.12~~~frmB~~~S-formylglutathione_hydrolase,100.00,100
6,G6207-MONOMER_~~~yaiL~~~nucleoprotein/polynucleotide-associated_enzyme,100.00,100
7,MHPT-MONOMER_~~~mhpT~~~3-hydroxyphenylpropionate_/_3-hydroxycinnamate:H+_symporter,100.00,100
8,EG11037-MONOMER_~~~tufB~~~elongation_factor_Tu,100.00,100
9,G6321-MONOMER_~~~cusF~~~copper_/_silver_efflux_transport_system_-_periplasmic_binding_protein,100.00,100
10,G6322-MONOMER_~~~cusB~~~copper_/_silver__efflux_transport_system_-_membrane_fusion_protein,100.00,100
11,YBDE-MONOMER_~~~cusA~~~copper_/_silver_efflux_transport_system_-_membrane_subunit,100.00,100
12,PHEP-MONOMER_~~~pheP~~~phenylalanine:H+_symporter_PheP,99.78,100
13,G6323-MONOMER_~~~ybdG~~~mechanosensitive_channel_of_miniconductance_YbdG_monomer,100.00,100
14,DIHYDROPTERIREDUCT-MONOMER_1.5.1.34~~~nfsB~~~dihydropteridine_reductase_monomer,100.00,100
15,G6324-MONOMER_~~~ybdF~~~conserved_protein,100.00,100
16,G6325-MONOMER_~~~ybdJ~~~predicted_inner_membrane_protein,100.00,100
17,G6326-MONOMER_~~~ybdK~~~carboxylate-amine_ligase,100.00,100
18,EG10849-MONOMER_~~~rhsD~~~RhsD_protein_in_rhs_element,63.64,70
19,EG11760-MONOMER_~~~ydcD~~~hypothetical_protein,100.00,100
20,G6767-MONOMER_~~~yncI~~~predicted_protein,99.60,100
21,EG11526-MONOMER_~~~ydcC~~~conserved_protein,100.00,100
22,EG11145-MONOMER_~~~yfeA~~~predicted_diguanylate_cyclase,100.00,100
23,EG11431-MONOMER_~~~yfeC~~~predicted_DNA-binding_transcriptional_regulator,100.00,100
24,EG11432-MONOMER_~~~yfeD~~~predicted_DNA-binding_transcriptional_regulator,100.00,100
25,GLURS-MONOMER_6.1.1.17~~~gltX~~~glutamyl-tRNA_synthetase,100.00,100
26,G6147-MONOMER_~~~yagJ~~~CP4-6_prophage;_predicted_protein,100.00,83
27,G6148-MONOMER_~~~yagK~~~CP4-6_prophage;_conserved_protein,100.00,100
28,G6149-MONOMER_~~~yagL~~~CP4-6_prophage;_DNA-binding_protein,100.00,100
29,G6150-MONOMER_~~~yagM~~~CP4-6_prophage;_predicted_protein,100.00,100
30,EG11831-MONOMER_~~~rdoA~~~serine/threonine_protein_kinase,26.92,70
31,G6151-MONOMER_~~~yagN~~~CP4-6_prophage;_predicted_protein,100.00,100
32,G6152-MONOMER_~~~intF~~~CP4-6_prophage;_predicted_phage_integrase,100.00,100
33,G6153-MONOMER_~~~yagP~~~predicted_transcriptional_regulator_LYSR-type,100.00,100
34,G6154-MONOMER_~~~paoD~~~conserved_protein,100.00,100
35,G6155-MONOMER_1.17.1.4~~~paoC~~~aldehyde_dehydrogenase:_molybdenum_cofactor-binding_subunit,100.00,100
36,G6156-MONOMER_1.17.1.4~~~paoB~~~aldehyde_dehydrogenase,_FAD-binding_subunit,100.00,100
37,G6157-MONOMER_~~~paoA~~~aldehyde_dehydrogenase,_Fe-S_subunit,100.00,100
38,G6158-MONOMER_~~~yagU~~~inner_membrane_protein_that_contributes_to_acid_resistance,100.00,100
39,G6160-MONOMER_~~~ecpE~~~hypothetical_protein,100.00,100
40,G6161-MONOMER_~~~ecpD~~~hypothetical_protein,100.00,100
41,G6162-MONOMER_~~~ecpC~~~hypothetical_protein,100.00,100
42,G6163-MONOMER_~~~ecpB~~~hypothetical_protein,100.00,100
43,G6164-MONOMER_~~~ecpA~~~E._coli_common_pilus_-_major_subunit;_cryptic,100.00,100
44,G6165-MONOMER_~~~ecpR~~~MatA_DNA-binding_transcriptional_dual_regulator,99.49,100
45,G6167-MONOMER_~~~ykgM~~~predicted_ribosomal_protein,100.00,99
46,G7064-MONOMER_~~~yeeJ~~~adhesin,54.35,78
47,EG10718-MONOMER_~~~phnI~~~PhnI_subunit_of_methylphosphonate_degradation_complex,100.00,100
48,EG10719-MONOMER_~~~phnJ~~~carbon-phosphorous_lyase,100.00,100
49,PHNK-MONOMER_~~~phnK~~~predicted_carbon-phosphorous_lyase_subunit,100.00,100
50,PHNL-MONOMER_~~~phnL~~~PhnL_subunit_of_methylphosphonate_degradation_complex,100.00,100
51,EG10722-MONOMER_~~~phnM~~~RPnTP_hydrolase,100.00,100
52,G6311-MONOMER_~~~rzpD~~~DLP12_prophage;_predicted_murein_endopeptidase,98.59,100
53,G6310-MONOMER_3.2.1.17~~~rrrD~~~DLP12_prophage;_lysozyme,100.00,100
54,G6309-MONOMER_~~~essD~~~DLP12_prophage;_predicted_phage_lysis_protein,100.00,100
